External Full Name,Level,External ID,Parent ID,openEPD Category,Material Properties,Comment
Construction,1,f0167df9-d436-462f-9969-0234c152f514,,,,
Steel / aluminum constructions,2,34056599-c67c-4b90-92de-6e4f35e3f8c2,f0167df9-d436-462f-9969-0234c152f514,Aluminium {Aluminium},,
Steel / aluminum constructions,2,34056599-c67c-4b90-92de-6e4f35e3f8c2,f0167df9-d436-462f-9969-0234c152f514,Steel {Steel},,
Asphalt and crushed stone,2,67dd3145-6d07-4939-8373-297d512803ca,f0167df9-d436-462f-9969-0234c152f514,Asphalt {Asphalt},,
Asphalt and crushed stone,2,67dd3145-6d07-4939-8373-297d512803ca,f0167df9-d436-462f-9969-0234c152f514,Aggregates {Aggregates},,
Building boards,2,266c796d-afa0-43b2-828a-19e5696c7076,f0167df9-d436-462f-9969-0234c152f514,,,
Cement,2,6c50ed4d-b856-4318-a2ce-347aa003fe1f,f0167df9-d436-462f-9969-0234c152f514,Cement {ManufacturingInputs >> CementitiousMaterials >> Cement},,
Concrete goods,2,f107d200-244c-4c4b-9a14-0c2264316bc2,f0167df9-d436-462f-9969-0234c152f514,,,
Doors and windows,2,87143e56-9c1c-49d6-8b2f-6611a362bf3a,f0167df9-d436-462f-9969-0234c152f514,Openings {Openings},,
Electrical cables and wires,2,65f3d56b-8152-47a6-88d3-9c31b8e89855,f0167df9-d436-462f-9969-0234c152f514,PowerCabling {ElectricalTransmissionAndDistributionEquipment >> PowerCabling},,
Electronic and electrical components and products,2,04664f51-b83e-43e8-bb3e-5d328a09f1c9,f0167df9-d436-462f-9969-0234c152f514,Unsupported {OtherMaterials >> Unsupported},,
Explosives,2,5f9bb6d4-bbcb-4238-b8ff-80395398c260,f0167df9-d436-462f-9969-0234c152f514,Unsupported {OtherMaterials >> Unsupported},,
Facade ceiling membranes,2,467a2230-9634-4bad-a614-021a59d19eb1,f0167df9-d436-462f-9969-0234c152f514,,,
Fiber reinforcement,2,83945e2c-a781-43c9-aa4a-b8f54657cdb0,f0167df9-d436-462f-9969-0234c152f514,ConcreteAdmixtures {ManufacturingInputs >> ConcreteAdmixtures},,
Finished concrete,2,6cf99d9f-7e16-4747-83c3-6e86a60b2ff3,f0167df9-d436-462f-9969-0234c152f514,CastDecksAndUnderlayment {CastDecksAndUnderlayment},,
Flooring,2,17ab1ac0-48a6-49e2-98e8-d68e08e9651d,f0167df9-d436-462f-9969-0234c152f514,Flooring {Finishes >> Flooring},,
